FLIGHT_ID,trajectory_array
264867988,"[('TAXI_OUT', '01.09.2023 00:10', '01.09.2023 00:20'), ('KZLAFIR', '01.09.2023 00:20', '01.09.2023 00:29'), ('KZLAUIR', '01.09.2023 00:29', '01.09.2023 01:06'), ('KZLCUIR', '01.09.2023 01:06', '01.09.2023 02:14'), ('KZDVUIR', '01.09.2023 02:14', '01.09.2023 02:14'), ('KZLCUIR', '01.09.2023 02:14', '01.09.2023 02:33'), ('KZMPUIR', '01.09.2023 02:33', '01.09.2023 02:53'), ('CZWGFIR', '01.09.2023 02:53', '01.09.2023 04:42'), ('CZULFIR', '01.09.2023 04:42', '01.09.2023 05:51'), ('CZQXFIR', '01.09.2023 05:51', '01.09.2023 06:15'), ('BGGLFIR', '01.09.2023 06:15', '01.09.2023 07:22'), ('BIRDFIR', '01.09.2023 07:22', '01.09.2023 08:35'), ('EGGXFIR', '01.09.2023 08:35', '01.09.2023 08:57'), ('EGPXUIR', '01.09.2023 08:57', '01.09.2023 09:30'), ('EGTTUIR', '01.09.2023 09:30', '01.09.2023 10:13'), ('LFFFUIR', '01.09.2023 10:13', '01.09.2023 10:19'), ('LFFFFIR', '01.09.2023 10:19', '01.09.2023 10:40'), ('TAXI_IN', '01.09.2023 10:40', '01.09.2023 10:50')]"
264867989,"[('TAXI_OUT', '31.08.2023 23:34', '01.09.2023 00:28'), ('KZNYFIR', '01.09.2023 00:28', '01.09.2023 00:32'), ('KZBWFIR', '01.09.2023 00:32', '01.09.2023 00:38'), ('KZBWUIR', '01.09.2023 00:38', '01.09.2023 01:09'), ('CZQMFIR', '01.09.2023 01:09', '01.09.2023 01:58'), ('CZQXFIR', '01.09.2023 01:58', '01.09.2023 03:58'), ('EGGXFIR', '01.09.2023 03:58', '01.09.2023 05:40'), ('EGTTUIR', '01.09.2023 05:40', '01.09.2023 05:50'), ('LFFFUIR', '01.09.2023 05:50', '01.09.2023 06:51'), ('EDUUUIR', '01.09.2023 06:51', '01.09.2023 06:52'), ('LSASUIR', '01.09.2023 06:52', '01.09.2023 07:03'), ('LSASFIR', '01.09.2023 07:03', '01.09.2023 07:05'), ('LIMMFIR', '01.09.2023 07:05', '01.09.2023 07:24'), ('TAXI_IN', '01.09.2023 07:24', '01.09.2023 07:34')]"
264867991,"[('TAXI_OUT', '31.08.2023 23:53', '01.09.2023 00:03'), ('KZOAFIR', '01.09.2023 00:03', '01.09.2023 00:36'), ('KZLCUIR', '01.09.2023 00:36', '01.09.2023 02:02'), ('CZWGFIR', '01.09.2023 02:02', '01.09.2023 04:02'), ('CZULFIR', '01.09.2023 04:02', '01.09.2023 05:05'), ('CZQXFIR', '01.09.2023 05:05', '01.09.2023 05:37'), ('BGGLFIR', '01.09.2023 05:37', '01.09.2023 06:16'), ('CZQXFIR', '01.09.2023 06:16', '01.09.2023 06:53'), ('EGGXFIR', '01.09.2023 06:53', '01.09.2023 08:12'), ('EGPXUIR', '01.09.2023 08:12', '01.09.2023 08:17'), ('EISNUIR', '01.09.2023 08:17', '01.09.2023 08:21'), ('EGPXUIR', '01.09.2023 08:21', '01.09.2023 08:24'), ('EISNUIR', '01.09.2023 08:24', '01.09.2023 08:34'), ('EGTTUIR', '01.09.2023 08:34', '01.09.2023 08:44'), ('EGTTFIR', '01.09.2023 08:44', '01.09.2023 09:01'), ('TAXI_IN', '01.09.2023 09:01', '01.09.2023 09:11')]"
264867992,"[('TAXI_OUT', '01.09.2023 01:12', '01.09.2023 01:22'), ('MMFRFIR', '01.09.2023 01:22', '01.09.2023 02:19'), ('KZHUFIR', '01.09.2023 02:19', '01.09.2023 03:19'), ('KZTLUIR', '01.09.2023 03:19', '01.09.2023 04:11'), ('KZDCUIR', '01.09.2023 04:11', '01.09.2023 04:50'), ('KZBWUIR', '01.09.2023 04:50', '01.09.2023 04:52'), ('KZNYUIR', '01.09.2023 04:52', '01.09.2023 04:55'), ('KZBWUIR', '01.09.2023 04:55', '01.09.2023 05:24'), ('CZQMFIR', '01.09.2023 05:24', '01.09.2023 06:14'), ('CZQXFIR', '01.09.2023 06:14', '01.09.2023 08:09'), ('EGGXFIR', '01.09.2023 08:09', '01.09.2023 09:54'), ('EGTTUIR', '01.09.2023 09:54', '01.09.2023 10:06'), ('LFFFUIR', '01.09.2023 10:06', '01.09.2023 10:36'), ('LFFFFIR', '01.09.2023 10:36', '01.09.2023 10:55'), ('TAXI_IN', '01.09.2023 10:55', '01.09.2023 11:05')]"
264867993,"[('TAXI_OUT', '01.09.2023 00:24', '01.09.2023 00:34'), ('VHHKFIR', '01.09.2023 00:34', '01.09.2023 00:44'), ('ZGZUFIR', '01.09.2023 00:44', '01.09.2023 01:36'), ('ZPKMFIR', '01.09.2023 01:36', '01.09.2023 02:43'), ('ZLHWFIR', '01.09.2023 02:43', '01.09.2023 04:19'), ('ZWUQFIR', '01.09.2023 04:19', '01.09.2023 05:47'), ('UAAAFIR', '01.09.2023 05:47', '01.09.2023 06:28'), ('UAIIFIR', '01.09.2023 06:28', '01.09.2023 07:21'), ('UTTRFIR', '01.09.2023 07:21', '01.09.2023 07:59'), ('UTATFIR', '01.09.2023 07:59', '01.09.2023 08:23'), ('UTAKFIR', '01.09.2023 08:23', '01.09.2023 08:51'), ('UBBAFIR', '01.09.2023 08:51', '01.09.2023 09:21'), ('UGGGUIR', '01.09.2023 09:21', '01.09.2023 09:52'), ('LTAAFIR', '01.09.2023 09:52', '01.09.2023 10:58'), ('LTBBFIR', '01.09.2023 10:58', '01.09.2023 11:02'), ('LBSRFIR', '01.09.2023 11:02', '01.09.2023 11:16'), ('LRBBFIR', '01.09.2023 11:16', '01.09.2023 11:20'), ('LBSRFIR', '01.09.2023 11:20', '01.09.2023 11:20'), ('LRBBFIR', '01.09.2023 11:20', '01.09.2023 12:02'), ('LHCCFIR', '01.09.2023 12:02', '01.09.2023 12:28'), ('LOVVFIR', '01.09.2023 12:28', '01.09.2023 12:45'), ('LKAAFIR', '01.09.2023 12:45', '01.09.2023 12:46'), ('LOVVFIR', '01.09.2023 12:46', '01.09.2023 12:48'), ('EDUUUIR', '01.09.2023 12:48', '01.09.2023 13:27'), ('EDVVUIR', '01.09.2023 13:27', '01.09.2023 13:33'), ('EHAAFIR', '01.09.2023 13:33', '01.09.2023 13:35'), ('EBURUIR', '01.09.2023 13:35', '01.09.2023 13:43'), ('EHAAFIR', '01.09.2023 13:43', '01.09.2023 13:47'), ('EBURUIR', '01.09.2023 13:47', '01.09.2023 13:48'), ('EHAAFIR', '01.09.2023 13:48', '01.09.2023 13:54'), ('EGTTUIR', '01.09.2023 13:54', '01.09.2023 13:58'), ('EGTTFIR', '01.09.2023 13:58', '01.09.2023 14:23'), ('TAXI_IN', '01.09.2023 14:23', '01.09.2023 14:33')]"
264867994,"[('TAXI_OUT', '31.08.2023 23:54', '01.09.2023 00:04'), ('GCCCFIR', '01.09.2023 00:04', '01.09.2023 00:14'), ('GCCCUIRN', '01.09.2023 00:14', '01.09.2023 00:19'), ('GMMMUIR', '01.09.2023 00:19', '01.09.2023 00:59'), ('LPPCFIR', '01.09.2023 00:59', '01.09.2023 01:43'), ('LECMUIR', '01.09.2023 01:43', '01.09.2023 02:03'), ('EGGXFIR', '01.09.2023 02:03', '01.09.2023 02:46'), ('EISNUIR', '01.09.2023 02:46', '01.09.2023 03:10'), ('EGPXUIR', '01.09.2023 03:10', '01.09.2023 03:14'), ('EGPXFIR', '01.09.2023 03:14', '01.09.2023 03:15'), ('EGTTFIR', '01.09.2023 03:15', '01.09.2023 03:19'), ('EGPXFIR', '01.09.2023 03:19', '01.09.2023 03:33'), ('TAXI_IN', '01.09.2023 03:33', '01.09.2023 03:43')]"
264867995,"[('TAXI_OUT', '01.09.2023 00:23', '01.09.2023 00:23'), ('CZQMFIR', '01.09.2023 00:23', '01.09.2023 00:53'), ('CZQXFIR', '01.09.2023 00:53', '01.09.2023 02:56'), ('EGGXFIR', '01.09.2023 02:56', '01.09.2023 04:08'), ('EISNUIR', '01.09.2023 04:08', '01.09.2023 04:38'), ('EGTTUIR', '01.09.2023 04:38', '01.09.2023 05:21'), ('EBURUIR', '01.09.2023 05:21', '01.09.2023 05:41'), ('EDVVUIR', '01.09.2023 05:41', '01.09.2023 05:41'), ('EDUUUIR', '01.09.2023 05:41', '01.09.2023 05:42'), ('EDGGFIR', '01.09.2023 05:42', '01.09.2023 06:04'), ('TAXI_IN', '01.09.2023 06:04', '01.09.2023 06:14')]"
264867996,"[('TAXI_OUT', '31.08.2023 23:40', '01.09.2023 00:17'), ('KZMAFIR', '01.09.2023 00:17', '01.09.2023 01:02'), ('KZWYFIR', '01.09.2023 01:02', '01.09.2023 05:27'), ('LPPOFIR', '01.09.2023 05:27', '01.09.2023 05:50'), ('CZQXFIR', '01.09.2023 05:50', '01.09.2023 06:29'), ('EGGXFIR', '01.09.2023 06:29', '01.09.2023 08:14'), ('EGTTUIR', '01.09.2023 08:14', '01.09.2023 08:41'), ('EGTTFIR', '01.09.2023 08:41', '01.09.2023 09:10'), ('TAXI_IN', '01.09.2023 09:10', '01.09.2023 09:20')]"
264867997,"[('TAXI_OUT', '01.09.2023 00:09', '01.09.2023 00:34'), ('KZNYFIR', '01.09.2023 00:34', '01.09.2023 00:40'), ('KZBWFIR', '01.09.2023 00:40', '01.09.2023 00:42'), ('KZBWUIR', '01.09.2023 00:42', '01.09.2023 01:18'), ('CZQMFIR', '01.09.2023 01:18', '01.09.2023 02:08'), ('CZQXFIR', '01.09.2023 02:08', '01.09.2023 04:18'), ('EGGXFIR', '01.09.2023 04:18', '01.09.2023 06:13'), ('EGTTUIR', '01.09.2023 06:13', '01.09.2023 06:43'), ('EGTTFIR', '01.09.2023 06:43', '01.09.2023 07:10'), ('TAXI_IN', '01.09.2023 07:10', '01.09.2023 07:20')]"
264867999,"[('TAXI_OUT', '01.09.2023 00:25', '01.09.2023 00:35'), ('SBCWFIR', '01.09.2023 00:35', '01.09.2023 01:23'), ('SBREFIR', '01.09.2023 01:23', '01.09.2023 01:58'), ('SBAOFIR', '01.09.2023 01:58', '01.09.2023 04:43'), ('GOOOUIR', '01.09.2023 04:43', '01.09.2023 07:43'), ('GCCCUIRN', '01.09.2023 07:43', '01.09.2023 08:59'), ('GMMMUIR', '01.09.2023 08:59', '01.09.2023 09:40'), ('LPPCFIR', '01.09.2023 09:40', '01.09.2023 10:32'), ('TAXI_IN', '01.09.2023 10:32', '01.09.2023 10:42')]"
